Artist,Song Title,Genre,Lyrics,category
Maroon-5,Bet My Heart,Pop,"It's not time for conversation, no
I don't want to complicate this for you
And I leave them other girls alone
If you'll be the one that I come home to

All of my love, all of my love
My time, my attention
My patience, I'm giving it all
All the above, all the above
No this ain't the way
That I usually play this
No, no

Would I lose
If I bet my heart on you?
Would I lose
If I bet my heart on you?
I don't wanna slow down
Won't you let me know now
Would I lose, oh
If I bet my heart on you?
(Bet my heart on)",1
Maroon-5,Help Me Out,Pop,"I'm getting kind of over this
I need a metamorphosis
Are you awake as me?
If not, do you wanna be?

Ooh, I need some temporary saving
Ooh, I need some, some uncomplicating

Help me out
'Cause I don't wanna do this on my own
Help me out, out
Help me out
'Cause I need something up to calm me down
Help me out, out

I don't mean to bother you
But there's something that I want from you
Distract me from thinking too much, hm
Loose ends all tied up with a touch",1
Maroon-5,Who I Am,Pop,"Hello, is this thing on?
My man
See this one goes out to all the lovers
Lovers' lovers that is
Who spend their nights and days under covers
Girl, the sun could burn out
But shell still shine
Oh, yeah

No, don't ask me if I love you
'Cause I'm sure as the night is long
And don't ask me if I need you
'Cause I'm sure that the time will come

Oh, oh, hey, baby, this is who I am
I shouldn't have to say it for you to understand
'Cause you already got me in the palm of your hand
Just wait a couple lifetimes and ask me again

Ooh ooh ooh, ay
Ooh ooh ooh, ay",1
Maroon-5,Whiskey,Pop,"Leaves are fallin', it's September
The night came in and made her shiver
I told her she could have my jacket
Wrapped it tight around her shoulders
And I was so young 'til she kissed me
Like a whiskey, like a whiskey

I never knew that love was blind
'Til I was hers, but she was never mine
Yeah, I was reckless
But I let it burn, I let it burn, yeah
The feelin', it was bittersweet
Realizin' I was in too deep
She was a lesson
I had to learn, I had to learn, yeah

I used to try to forget her
But now I smile when I remember
Ooh

Leaves are fallin' in September
The night came in and made her shiver
I told her she could have my jacket
Wrapped it tight around her shoulders",1
Maroon-5,Girls Like You,Pop,"Spent 24 hours, I need more hours with you
You spent the weekend getting even, ooh
We spent the late nights making things right between us

But now it's all good, babe
Roll that back wood, babe
And play me close

'Cause girls like you run 'round with guys like me
'Til sun down when I come through
I need a girl like you, yeah yeah
Girls like you love fun and, yeah, me too
What I want when I come through
I need a girl like you, yeah yeah

Yeah yeah yeah, yeah yeah yeah
I need a girl like you, yeah yeah
Yeah yeah yeah, yeah yeah yeah
I need a girl like you

I spent last night on the last flight to you (ey ya)
Took a whole day up trying to get way up, ooh",1
Maroon-5,Closure,Pop,"You come over to tell that it's over
Say you want to do this face to face
Bottle opens, we pour out our emotions
Knew that if you came here you would stay

If you want closure
Come on and close that door
I know, I know, I know
What you really came for
If you want closure
Come on and close that door
I know, I know, I know
What you really came for
I know what you want, baby
What you really came for
Closure
I know what you want, baby
Know what you came here for
Closure

How did we end up in this situation?",1
Maroon-5,Denim Jacket,Pop,"You're standing there with your cigarette
Looking at me like we've never met
I know I fucked up
So I'll take the blame
And I don't expect you, to let me explain
You can't forgive, I can't forget

I know you are just too different now

But I miss you and that denim jacket
I let you get away, I let you get away
Do you still wear that denim jacket?
I let you get away, I let you get away
'Cause the color of that blue sky
Just reminds me of our goodbye
Do you still wear the denim jacket?
I let you get away, I let you get away

Now someone else is taking you home, yeah
Hands on the waist I used to hold, ooh ooh
And I know it's my fault",1
Maroon-5,Visions,Pop,"I keep seeing visions of you
Visions of, visions of you
I keep getting stuck in this day
Stuck in this déjà-vu

It's like I'm never riding solo
I feel you walking in my shadow
Never hit me quite like that though
'Cause now I'm under your spell
Late nights and I can't sleep
Choked up and I can't breathe
No one that can save me
'Cause now I'm under your spell

I keep seeing visions of you
Visions of, visions of you
I keep getting stuck in this day
Stuck in this déjà-vu
Even in my darkest hour
Even when I know it can't be true
I keep seeing visions of you
Visions of, visions of you

Oh oh oh oh, oh oh oh
Oh oh oh oh, oh oh oh
Oh oh oh oh, oh oh oh
(I keep seeing visions of you)",1
Maroon-5,Plastic Rose,Pop,"All I gave to you
Was my heart, my keys, my bed, my home
All I gave to you
Was my time, my green, my favorite jeans
And everything you choose

Tell me ho-ho-how, how, ho-ho-how
Can you take all that?
Can you take all that?
Tell me ho-ho-how, how, ho-ho-how
Oh, can you take all that?
And give one thing back?
Woah, oh

Baby, all you gave me was
Baby, all you gave me was a plastic, plastic
How'd you make it feel like love?
Baby, all you gave me was a plastic rose

Baby, all you gave me was (all you gave me was)
Baby, all you gave me was a plastic, plastic",1
Maroon-5,Don't Wanna Know,Pop,"I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, no

I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, oh
I don't wanna know

Wasted
And the more I drink, the more I think about you
Oh, no-no, I can't take it
Baby, every place I go reminds me of you

Do you think of me, of what we used to be?
Is it better now that I'm not around?
My friends are actin' strange, they don't bring up your name
Are you happy now? Are you happy now?

I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, no

I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so",1
